Sequence_Name	Individual_ID
LlA01001	Lle-AHam_001
LlA01002	Lle-AHam_002
LlA01003	Lle-AHam_003
LlA01004	Lle-AHam_004
LlA01005	Lle-AHam_005
LlA01006	Lle-AHam_006
LlA01007	Lle-AHam_007
LlA01008	Lle-AHam_008
LlA01009	Lle-AHam_009
LlA01010	Lle-AHam_010
LlA01011	Lle-AHam_011
LlA01012	Lle-AHam_012
LlA01013	Lle-AHam_013
LlA01014	Lle-AHam_014
LlA01015	Lle-AHam_015
LlA01016	Lle-AHam_016
LlA01017	Lle-AHam_017
LlA01018	Lle-AHam_018
LlA01019	Lle-AHam_019
LlA01020	Lle-AHam_020
LlA01021	Lle-AHam_021
LlA01022	Lle-AHam_022
LlA01023	Lle-AHam_023
LlA01024	Lle-AHam_024
LlA01025	Lle-AHam_025
LlA01026	Lle-AHam_026
LlA01027	Lle-AHam_027
LlA01028	Lle-AHam_028
LlA01029	Lle-AHam_029
LlA01030	Lle-AHam_030
LlA01031	Lle-AHam_031
LlA01032	Lle-AHam_032
LlC01001	Lle-CNas_001
LlC01002	Lle-CNas_002
LlC01003	Lle-CNas_003
LlC01004	Lle-CNas_004
LlC01005	Lle-CNas_005
LlC01006	Lle-CNas_006
LlC01007	Lle-CNas_007
LlC01008	Lle-CNas_008
LlC01009	Lle-CNas_009
LlC01010	Lle-CNas_010
LlC01011	Lle-CNas_011
LlC01012	Lle-CNas_012
LlC01013	Lle-CNas_013
LlC01014	Lle-CNas_014
LlC01015	Lle-CNas_015
LlC01016	Lle-CNas_016
LlC01017	Lle-CNas_017
LlC01018	Lle-CNas_018
LlC01019	Lle-CNas_019
LlC01020	Lle-CNas_020
LlC01021	Lle-CNas_021
LlC01022	Lle-CNas_022
LlC01023	Lle-CNas_023
LlC01024	Lle-CNas_024
LlC01025	Lle-CNas_025
LlC01026	Lle-CNas_026
LlC01027	Lle-CNas_027
LlC01028	Lle-CNas_028
LlC01029	Lle-CNas_029
LlC01030	Lle-CNas_030
LlC01031	Lle-CNas_031
LlC01032	Lle-CNas_032
LlC01033	Lle-CNas_033
LlC01034	Lle-CNas_034
LlC01035	Lle-CNas_035
LlC01036	Lle-CNas_036
LlC01037	Lle-CNas_037
LlC01038	Lle-CNas_038
LlC01039	Lle-CNas_039
LlC01040	Lle-CNas_040
LlC01041	Lle-CNas_041
LlC01042	Lle-CNas_042
LlC01043	Lle-CNas_043
LlC01044	Lle-CNas_044
LlC01045	Lle-CNas_045
LlC01046	Lle-CNas_046
LlC01047	Lle-CNas_047
LlC01048	Lle-CNas_048
LlC01049	Lle-CNas_049
LlC01050	Lle-CNas_050
LlC01051	Lle-CNas_051
LlC01052	Lle-CNas_052
LlC01053	Lle-CNas_053
LlC01054	Lle-CNas_054
LlC01055	Lle-CNas_055
LlC01056	Lle-CNas_056
LlC01057	Lle-CNas_057
LlC01058	Lle-CNas_058
LlC01059	Lle-CNas_059
LlC01060	Lle-CNas_060
LlC01061	Lle-CNas_061
LlC01062	Lle-CNas_062
LlC01063	Lle-CNas_063
LlC01064	Lle-CNas_064
LlC01065	Lle-CNas_065
LlC01066	Lle-CNas_066
LlC01067	Lle-CNas_067
LlC01068	Lle-CNas_068
LlC01069	Lle-CNas_069
LlC01070	Lle-CNas_070
LlC01071	Lle-CNas_071
LlC01072	Lle-CNas_072
LlC01073	Lle-CNas_073
LlC01074	Lle-CNas_074
LlC01075	Lle-CNas_075
LlC01076	Lle-CNas_076
LlC01077	Lle-CNas_077
LlC01078	Lle-CNas_078
LlC01079	Lle-CNas_079
LlC01080	Lle-CNas_080
LlC01081	Lle-CNas_081
LlC01082	Lle-CNas_082
LlC01083	Lle-CNas_083
LlC01084	Lle-CNas_084
LlC01085	Lle-CNas_085
LlC01086	Lle-CNas_086
LlC01087	Lle-CNas_087
LlC01088	Lle-CNas_088
LlC01089	Lle-CNas_089
LlC01090	Lle-CNas_090
LlC01091	Lle-CNas_091
LlC01092	Lle-CNas_092
LlC01093	Lle-CNas_093
LlC01094	Lle-CNas_094
LlC01095	Lle-CNas_095
LlC01096	Lle-CNas_096
